⺀	[⺀,bīng_èr,部首補充,U+2E80]
⺁	[⺁,yì,部首補充,U+2E81]
⺂	[乛,,部首補充,U+2E82]
⺃	[⺃,,部首補充,U+2E83]
⺄	[⺄,,部首補充,U+2E84]
⺅	[亻,,部首補充,U+2E85]
⺆	[⺆,,部首補充,U+2E86]
⺇	[⺇,,部首補充,U+2E87]
⺈	[⺈,,部首補充,U+2E88]
⺉	[刂,,部首補充,U+2E89]
⺊	[⺊,,部首補充,U+2E8A]
⺋	[㔾,,部首補充,U+2E8B]
⺌	[⺌,,部首補充,U+2E8C]
⺍	[⺍,,部首補充,U+2E8D]
⺎	[一儿,,部首補充,U+2E8E]
⺏	[八儿,,部首補充,U+2E8F]
⺐	[尢,,部首補充,U+2E90]
⺑	[八几,,部首補充,U+2E91]
⺒	[巳,,部首補充,U+2E92]
⺓	[幺,,部首補充,U+2E93]
⺔	[彑,,部首補充,U+2E94]
⺕	[彐,,部首補充,U+2E95]
⺖	[忄,,部首補充,U+2E96]
⺗	[⺗,,部首補充,U+2E97]
⺘	[扌,,部首補充,U+2E98]
⺙	[攵,,部首補充,U+2E99]
⺛	[旡,,部首補充,U+2E9B]
⺜	[⺜,,部首補充,U+2E9C]
⺝	[⺝,,部首補充,U+2E9D]
⺞	[歺,,部首補充,U+2E9E]
⺟	[母,,部首補充,U+2E9F]
⺠	[民,,部首補充,U+2EA0]
⺡	[氵,,部首補充,U+2EA1]
⺢	[氺,,部首補充,U+2EA2]
⺣	[灬,,部首補充,U+2EA3]
⺤	[爫,,部首補充,U+2EA4]
⺥	[⺥,,部首補充,U+2EA5]
⺦	[丬,,部首補充,U+2EA6]
⺧	[⺧,,部首補充,U+2EA7]
⺨	[犭,,部首補充,U+2EA8]
⺩	[王,,部首補充,U+2EA9]
⺪	[⺪,,部首補充,U+2EAA]
⺫	[罒,,部首補充,U+2EAB]
⺬	[⺬,,部首補充,U+2EAC]
⺭	[礻,,部首補充,U+2EAD]
⺮	[⺮,,部首補充,U+2EAE]
⺯	[糹,,部首補充,U+2EAF]
⺰	[纟,,部首補充,U+2EB0]
⺱	[冂乂,,部首補充,U+2EB1]
⺲	[罒,,部首補充,U+2EB2]
⺳	[冖八,,部首補充,U+2EB3]
⺴	[冖儿,,部首補充,U+2EB4]
⺵	[冂〢,,部首補充,U+2EB5]
⺶	[⺶,,部首補充,U+2EB6]
⺷	[⺷,,部首補充,U+2EB7]
⺸	[⺸,,部首補充,U+2EB8]
⺹	[耂,,部首補充,U+2EB9]
⺺	[肀,,部首補充,U+2EBA]
⺻	[⺻,,部首補充,U+2EBB]
⺼	[⺼,,部首補充,U+2EBC]
⺽	[⺽,,部首補充,U+2EBD]
⺾	[艹,,部首補充,U+2EBE]
⺿	[艹,,部首補充,U+2EBF]
⻀	[卝,,部首補充,U+2EC0]
⻁	[虎,,部首補充,U+2EC1]
⻂	[衤,,部首補充,U+2EC2]
⻃	[覀,,部首補充,U+2EC3]
⻄	[西,,部首補充,U+2EC4]
⻅	[见,,部首補充,U+2EC5]
⻆	[⺈用,,部首補充,U+2EC6]
⻇	[⺈冂人人,,部首補充,U+2EC7]
⻈	[讠,,部首補充,U+2EC8]
⻉	[贝,,部首補充,U+2EC9]
⻊	[⻊,,部首補充,U+2ECA]
⻋	[车,,部首補充,U+2ECB]
⻌	[辶,,部首補充,U+2ECC]
⻍	[⻍,,部首補充,U+2ECD]
⻎	[辶,,部首補充,U+2ECE]
⻏	[阝,,部首補充,U+2ECF]
⻐	[钅,,部首補充,U+2ED0]
⻑	[長,,部首補充,U+2ED1]
⻒	[镸,,部首補充,U+2ED2]
⻓	[长,,部首補充,U+2ED3]
⻔	[门,,部首補充,U+2ED4]
⻕	[丿,,部首補充,U+2ED5]
⻖	[阝,,部首補充,U+2ED6]
⻗	[⻗,,部首補充,U+2ED7]
⻘	[龶⺝,,部首補充,U+2ED8]
⻙	[韦,,部首補充,U+2ED9]
⻚	[页,,部首補充,U+2EDA]
⻛	[⺇乂,,部首補充,U+2EDB]
⻜	[飞,,部首補充,U+2EDC]
⻝	[食,,部首補充,U+2EDD]
⻞	[⻞,,部首補充,U+2EDE]
⻟	[飠,,部首補充,U+2EDF]
⻠	[饣,,部首補充,U+2EE0]
⻡	[巛一自,,部首補充,U+2EE1]
⻢	[马,,部首補充,U+2EE2]
⻣	[骨,,部首補充,U+2EE3]
⻤	[鬼,,部首補充,U+2EE4]
⻥	[鱼,,部首補充,U+2EE5]
⻦	[鸟,,部首補充,U+2EE6]
⻧	[⺊龱,,部首補充,U+2EE7]
⻨	[龶夂,,部首補充,U+2EE8]
⻩	[黄,,部首補充,U+2EE9]
⻪	[黾,,部首補充,U+2EEA]
⻫	[斉,,部首補充,U+2EEB]
⻬	[齐,,部首補充,U+2EEC]
⻭	[歯,,部首補充,U+2EED]
⻮	[齿,,部首補充,U+2EEE]
