Yxi	門
Mdu	齐
Mdu	斉
Lr	儿
Tlr	木
Tlr	朩
Kso	两
Sr	音
Sle	力
Qhr	黾
Qhr	黽
Fli	髟
Je	支
Pdi	皿
Li	幺
Fyw	彡
Fyw	𰀪
Psu	土
Qlr	门
Ghr	黄
Ghr	黃
Kci	鬼
Kci	
Lfo	井
Gme	六
Kgi	不
Qjr	钅
Fo	自
Si	丿
Ktu	鹿
Ktu	
Ktu	
Fmr	囚
Kr	至
Sjw	示
Sjw	礻
Sjw	⺬
Sjw	𱍐
Fjr	卜
Fjr	⺊
Jfu	生
Smr	贝
Lto	非
Lto	
Jgo	里
Fi	之
Gmr	九
Jdi	飛
Mgi	山
Kau	卌
Kau	
Kvi	巳
Dle	白
Qhe	臣
Qhe	
Qhe	
Qhe	{反臣}
Qhe	{反}
Pgo	匚
Pgo	コ
Pgo	
Pgo	𠥓
Zu	羽
Kqo	豆
Bo	鱼
Bo	𩵋
Vi	乍
Dme	皮
Gke	宀
Gke	冖
Hfu	矢
Fyr	巴
Dnw	乡
Le	一
Le	㇀
Dko	卅
Dko	丗
Dko	𠀍
Gw	⽱
Gw	禸
Dyr	行
Lsi	户
Lsi	戶
Lsi	戸
Lsi	
Syr	卯
Syr	
Syr	
Tjr	饣
Pr	瓦
Yso	气
Dmw	了
Dmw	𠄏
Sko	耒
Ndi	骨
Ndi	⾻
Ndi	
Ndi	冎
Ndi	
Dlw	欠
She	习
Aje	馬
Aje	
Mr	尤
Mr	尢
Gu	王
Ksu	㐄
Ksu	
Ksu	
Ksu	
Akw	十
Akw	𠂇
Akw	𬺰
Spw	甫
Nfi	革
Fkr	广
Dkw	目
Kco	千
Kco	
Kw	也
Smw	面
Smw	靣
Hsu	水
Hsu	氵
Hsu	⺍
Hsu	氺
Hsu	
Hsu	
Hsu	
Ti	壴
Vke	匕
Vke	
Vke	
Vke	
Msi	丩
Msi	
Msi	
Yfo	糸
Yfo	糹
Kti	仑
Kqi	{龍字边}
Gyr	屮
Gyr	
Gyr	
Gyr	
Gyr	{𡳿上}
Kdo	飞
Zye	貝
To	羊
To	⺶
To	⺷
To	⺸
To	芈
To	
