Ac	門
Ae	齐
Ae	斉
Ah	儿
Aj	木
Aj	朩
Am	两
Ar	音
Au	力
Ay	黾
Ay	黽
Be	髟
Bh	支
Bk	皿
Bl	幺
Bl	彡
Bl	𰀪
Bm	土
Bo	门
Bx	黄
Bx	黃
By	鬼
By	
Bz	井
Ca	六
Ci	不
Cj	钅
Cj	自
Ck	丿
Cu	鹿
Cu	
Cu	
Cv	囚
Cy	至
Dd	示
Dd	礻
Dd	⺬
Dd	𱍐
Dh	卜
Dh	⺊
Dh	生
Dj	贝
Dm	非
Dm	
Dn	里
Do	之
Dp	九
Dp	飛
Ds	山
Ds	卌
Ds	
Du	巳
Dy	白
Dz	臣
Dz	
Dz	
Dz	{反臣}
Dz	{反}
Eh	匚
Eh	コ
Eh	
Eh	𠥓
Eh	羽
Ei	豆
Ei	鱼
Ei	𩵋
El	乍
Em	皮
Er	宀
Er	冖
Eu	矢
Ew	巴
Ff	乡
Fh	一
Fh	㇀
Fh	卅
Fh	丗
Fh	𠀍
Fj	⽱
Fj	禸
Fj	行
Fk	户
Fk	戶
Fk	戸
Fk	
Fm	卯
Fm	
Fm	
Fn	饣
Fn	瓦
Fq	气
Fu	了
Fu	𠄏
Fu	耒
Fv	骨
Fv	⾻
Fv	
Fv	冎
Fv	
Fy	欠
Fz	习
Gb	馬
Gb	
Gh	尤
Gh	尢
Gi	王
Gj	㐄
Gj	
Gj	
Gj	
Gl	十
Gl	𠂇
Gl	𬺰
Gn	甫
Go	革
Gp	广
Gy	目
Hc	千
Hc	
He	也
Hf	面
Hf	靣
Hg	水
Hg	氵
Hg	⺍
Hg	氺
Hg	
Hg	
Hg	
Hs	壴
Hs	匕
Hs	
Hs	
Hs	
Ht	丩
Ht	
Ht	
Ht	糸
Ht	糹
Hv	仑
Ia	{龍字边}
Ia	屮
Ia	
Ia	
Ia	
Ia	{𡳿上}
Ib	飞
Ic	貝
Id	羊
Id	⺶
Id	⺷
Id	⺸
Id	芈
Id	
Ie	戈
Ie	
Iq	口
Iq	〇
Iq	
Ak	中
Is	由
Iu	{齊字腰}
Iw	韋
Jb	彳
Jb	亍
Jc	己
Je	日
Je	⺜
Je	𫩏
Jf	麥
Jg	乙
Jg	𠃉
Jh	龙
Jh	竜
Ji	五
Jl	車
Jn	乌
Jt	夂
Jt	辛
Jt	
Jv	川
Jv	巛
Jv	巜
Jv	
Jv	
Jv	〣
Jw	虫
Jx	未
Jv	来
Jz	册
Jz	冊
Jz	
Jz	𠕁
Kd	及
Kd	
Kf	𤴓
Kf	疋
Kf	⺪
Kg	刀
Kg	刂
Kg	〢
Kg	リ
Kg	
Kg	
Kg	
Kg	
Kg	
Kj	亻
Ks	丨
Ks	亅
Kt	豕
Kt	
Kt	𧰧
Kt	㡀
Kt	
Kw	页
Lc	身
Ld	止
Ld	龰
Ld	
Ld	𱤻
Ld	𠂉
Le	犬
Le	犭
Lk	舟
Ln	七
Ln	
Lr	干
Lr	
Lt	辶
Lt	⻍
Lv	⺀
Lv	冫
Lv	
Ll	
Lw	龱
Lw	𱕻
Lw	
Lw	
Lw	寸
Lz	豸
Lz	牛
Lz	牜
Lz	⺧
Ma	予
Md	月
Md	⺝
Md	⺼
Md	円
Md	
Md	
Md	
Md	
Md	
Me	言
Mf	士
Mg	米
Mg	
Mx	方
Mz	甘
Mz	
Mz	尸
Mz	
Mz	𠁣
Mz	
Nb	片
Nb	丬
Nb	爿
Nb	
Nb	
Nb	
Nb	
Nd	厶
Nd	龴
Nd	
Nd	弋
Nd	
Nf	吕
Ng	
Ng	
Ng	心
Ng	忄
Ng	⺗
Ns	民
Nt	已
Nv	工
Od	弓
Od	{反弓}
Oe	丶
Oe	㇏
Oe	乀
On	麻
Oq	业
Or	𣎆
Or	衣
Or	衤
Or	
Or	
Or	𧘇
Or	僉
Os	乂
Os	
Ot	小
Ot	⺌
Ot	
Ou	毛
Oy	厂
Oy	⺁
Oz	食
Oz	⻞
