，	ae
。	te
的	e
是	u
不	r
了	o
在	w
我	i
这	xnu
有	aku
大	yi
上	fe
中	ki
来	cjo
地	psi
和	mi
说	fr
为	nr
到	kve
你	jfr
就	dr
以	vu
国	zr
那	xi
要	de
时	vjo
出	gr
着	tw
道	jo
对	bjo
会	aw
得	fhvo
下	lfe
能	be
过	ju
于	lw
年	kfu
后	zki
发	gyr
都	fw
没	hu
还	ku
所	so
去	po
看	ksw
如	gli
多	xe
只	si
家	ge
天	lyi
然	ce
当	sw
种	mu
想	tlu
经	tki
现	gki
法	hr
同	dji
学	hi
其	mtjo
前	jde
分	jdve
把	ksfr
军	gke
本	tle
因	zyi
定	gku
部	jsw
与	lxe
将	shxo
理	gjo
实	gkyi
意	shu
知	hfi
此	dve
很	fhfe
什	jaw
被	yde
者	fko
公	jdr
向	sdi
问	qli
最	vhu
使	jlo
点	fjke
情	hdmu
外	xr
并	jdcr
关	jdyi
等	pi
相	tldw
重	kcjo
头	ghi
声	ldu
性	hdju
应	flu
给	tkci
美	tyi
物	mw
真	akdo
体	jte
政	ldhi
内	dju
利	mse
打	ksli
新	jso
位	jji
再	gdr
产	jszr
加	sli
先	mdr
制	mde
特	mdpo
果	zhr
东	fkfr
神	sju
太	ydr
合	cji
表	mvr
原	zkdr
名	xki
比	ve
次	ghw
听	kdko
提	ksvu
做	jshi
海	hse
教	fki
眼	dkfe
化	jve
通	bku
感	klu
各	vw
别	kdse
平	lvjo
常	ni
解	fmo
接	kse
反	zku
变	jvu
笑	psyi
总	jdku
认	fu
条	mtr
安	gkge
金	tr
度	fku
让	ffe
活	hshu
结	tkli
数	kagi
直	akde
指	ksvo
张	nsr
报	kslu
放	hfhi
系	syo
难	bho
命	cjki
尔	fmfr
死	ckve
保	jktr
完	gkr
许	fkaw
场	psw
空	vki
计	faw
管	pgw
非	lo
德	fhu
量	vlo
决	ghu
形	lcw
像	jdw
期	mtu
资	ghdr
清	hsmu
嗯	kdu
统	tkr
书	xxr
市	jvji
司	xli
师	vji
即	fhi
带	dki
则	smve
觉	hsi
交	gmo
社	sjpu
基	mtju
北	shve
展	mfw
传	jzr
连	alu
叫	kdmi
告	mdw
科	mso
呢	kdw
思	zhu
达	yu
转	alr
边	slu
快	hdw
色	ffr
该	fho
界	zhae
拉	ksji
收	msi
领	cpe
林	ttr
根	tlfe
往	fne
亲	jsu
极	tlsw
每	kfe
程	msku
兵	kfjo
据	ksr
类	kayi
规	jgki
吧	kge
品	kdlu
确	fji
城	pski
虽	kdge
格	tlvw
远	zlu
办	slo
运	hnu
令	cjbr
共	akjo
准	gho
请	fmu
改	mfhi
英	cli
深	hsgr
联	hji
争	fdo
吗	kde
院	lgr
轻	ali
罗	ahxe
百	lde
离	jvw
花	cle
近	kfnu
切	fkve
识	fkjo
造	mdku
组	tke
流	hso
算	pdr
布	akji
导	kvo
早	vaw
找	ksfw
候	jfpu
满	hke
服	clu
官	gkw
整	nshi
爱	hgau
持	kspo
跟	xfi
突	vku
影	vdo
消	hsfu
商	jsdi
单	jdzu
议	fno
存	akfi
击	ksdr
精	kamu
台	bki
调	fdi
杀	str
团	zai
功	jtse
具	dkjo
华	jvaw
脸	cce
府	fkji
集	hqr
周	djpi
红	tkji
半	jdsu
容	gkfw
曾	jdzo
啊	ji
阿	lse
落	chw
除	lamu
党	ndr
照	vve
备	mze
复	kfw
陈	lffr
断	kaxo
价	jae
约	tksr
包	slki
级	tkw
病	qkw
质	zkar
称	msr
江	hsji
绝	tkfr
敌	hvi
派	hszr
线	tklr
站	jsfi
究	vkgr
装	shlr
刚	djse
视	sji
器	lflu
易	vsfw
留	syze
坐	apu
房	lsho
查	tlve
语	fqi
念	cju
紧	vyo
希	saji
委	msge
响	kdsi
参	bkw
剑	cjhe
攻	jthi
冷	ghcr
哪	cxi
专	zxr
图	zw
选	mdlu
终	tkmw
微	yaw
皇	dlu
严	lcr
医	pghu
男	zhse
乎	sjaw
拿	cjku
答	pci
费	amsr
兴	hsjo
低	jcr
仍	jfw
急	fadu
较	alo
防	lho
讲	flo
破	fjde
客	gkvw
施	hfw
故	ski
血	spi
钱	qjr
苏	clo
伤	jkse
举	hsju
族	hfku
按	ksge
维	tko
帝	jsgi
威	klge
划	fjve
案	gkgr
底	fkcr
送	jdyu
冲	ghku
态	ydnu
够	tye
群	also
船	maki
责	mvsr
苦	clr
章	saw
愿	zkdu
京	dhfr
独	lqe
效	gmi
细	tkze
怕	hde
志	ldhu
晚	vr
料	kao
例	jce
灵	alce
密	gkhi
害	gkmi
供	jajo
属	mfsw
验	fyce
境	psr
般	mlu
居	mfsr
继	tkki
错	qjo
沉	hsgw
采	htr
察	gkjw
否	kgki
批	ksve
脑	cr
夜	jvju
速	nsnu
纪	tkmo
续	tkai
假	jmu
帮	mvli
乐	jsfr
陆	lkr
型	lcvu
退	fhnu
铁	qji
状	shlu
左	aki
雷	kze
网	djo
率	jlaw
值	jade
承	xhse
停	jdli
试	fqji
弹	nsw
职	hko
药	cltr
卫	lge
助	syse
掌	ndu
织	tkko
待	fhpo
初	yve
追	snu
哈	gw
您	jffu
刻	hcve
创	alve
球	glr
差	tji
树	tlo
校	tlso
怪	hpu
阵	lae
异	kvr
宗	gksw
波	hsde
游	hshi
银	qjfe
适	hvnu
省	flsw
胡	sku
素	mvyo
尼	mfe
排	kslo
负	fmsr
忽	slfu
福	sjle
怀	hdki
欢	bdw
模	tli
痛	qki
险	lce
财	smi
益	hspi
宝	gni
脚	cpi
疑	vkhu
敢	xhi
置	ahae
右	ako
略	zhvw
静	mvco
村	tljo
范	clhi
副	lke
州	dydw
纳	tkdu
岁	mgxe
罪	ahlo
余	amu
占	fjki
哥	skse
杨	tlxw
守	gko
跑	xsi
述	tlnu
超	avki
喝	kdve
买	xgyi
策	ptr
块	pspu
配	smo
征	fhli
善	tjki
降	lmku
恶	lshu
宣	gkfe
慢	hdvu
积	msko
草	clvw
恐	jtau
妈	glfe
读	fai
靠	mdko
阶	lave
爸	jdsr
呼	kdsw
洲	hsdw
巨	pgo
检	tlce
养	tne
救	lhi
份	jjve
露	kxw
登	jdko
犯	lqli
危	fmzi
审	gkvu
亦	jvce
沙	hsfi
散	akci
欧	pgsw
宫	gkaw
魔	haki
永	nhu
孙	qfr
临	vjpo
圣	bpu
叶	kdaw
毫	dhge
宋	gktr
嘴	kvai
航	mjw
毒	mve
逃	lgu
索	akgo
岛	jbmi
贵	gjr
良	nfe
亮	dhaw
闪	qlu
丝	tktw
秘	mshi
渐	hsao
架	slkr
升	scr
监	vjpi
短	hfko
梦	tlte
睡	dko
卖	akxyi
醒	svu
码	fjfe
哦	kgw
隶	alhu
晕	vge
叭	kgr
邑	kdfr
缀	tku
冕	vdr
晖	vgae
呗	kdr
晾	vdfr
汩	hsw
么	sbr
进	lfnu
主	nu
第	par
它	gkve
机	tlaw
间	qlo
任	jslo
义	no
住	jnu
路	xw
万	lve
风	ano
求	lhr
倒	jkve
增	psjo
谈	fcce
惊	hdr
际	lsw
注	hsnu
刘	xve
甚	mtji
营	cw
某	mttr
获	cllu
劳	clge
封	pspo
托	kssw
困	ztr
炮	cmi
舰	mki
付	jjo
货	jvr
败	smhi
概	tlfi
寻	aljo
评	fljo
恩	zyu
介	ave
探	ksgr
县	sybr
脱	cjkr
移	msxe
缺	ayu
画	lzr
跳	xlgw
春	mvno
吉	ldki
端	jsmo
杂	gmtr
遗	gjsu
款	ldw
刺	tlde
附	ljo
爷	jdsi
央	djyi
减	ghki
版	shzu
徐	fhau
仙	jmi
湖	hssu
钟	qju
班	gvu
诗	fpo
镇	qjao
域	psfe
均	pssw
秦	mvnu
堂	ndpu
笔	pge
饭	tju
庄	fkpu
括	kshu
怒	glu
补	yfr
逐	dnu
毕	vkvw
席	fkai
禁	tltw
剧	mfse
避	kvnu
欲	fmdw
弄	gcr
忍	vjnu
旅	hfr
暴	vaju
抱	kssi
洛	hsvw
缓	tkhu
迎	jslu
票	dhsw
婚	glo
冰	ghhu
遍	lsfu
虑	vhhu
宁	gkli
玩	gzr
熟	dhqe
谋	fmtr
叔	fju
奥	sdki
俄	jskw
韩	akvw
混	hsve
词	fxli
盘	mpi
寒	gklw
遭	lku
拍	ksde
荣	clgr
卷	jdji
夏	lfw
凡	anr
私	msbr
休	jtr
迫	dlnu
替	jgjo
摆	ksar
默	malu
骑	fyye
疗	qkdw
睛	dku
店	fkfi
载	akfe
诺	fci
扬	ksxw
纸	tkcw
透	msfu
床	fktr
迅	xanu
园	zzr
坦	psve
抵	kscr
姓	glju
弱	nsgw
软	aldw
绿	tkau
轮	alki
盖	tpi
篇	plr
午	kfaw
窗	vko
歌	sksw
雄	akbo
森	tltr
戏	bfw
妻	ldge
啦	kdki
套	ydyi
馆	tjw
秋	msce
迷	kanu
典	fhjo
灯	cmli
秀	msfw
努	glbe
街	dyu
萨	cllr
冒	vdw
罢	ahr
盛	kxpi
塞	gklu
桌	fjvr
纷	tkje
悲	ltu
淡	hsce
础	fjgr
杜	tlpu
刑	lcve
偏	jlfr
针	qjaw
舞	kfku
侧	jsve
夺	ydjo
距	xpo
丹	djju
仿	jho
途	amnu
胸	cssr
偷	jcce
姆	glde
末	ltr
毁	jzju
烧	cmfr
库	fkae
弃	hcr
墙	pspi
雅	tho
贸	sysr
爆	cmu
振	kshi
趣	ahu
轰	albu
盟	vci
勇	bke
敬	clti
狗	lqw
恨	hdfe
迹	jvcu
呆	kdtr
疾	qku
哲	kski
麦	mvw
横	tlgr
闭	qlai
挂	kspu
彩	htw
召	vjki
童	jsjo
摩	haku
符	pjo
筑	pjr
眉	mfdw
侠	jjjo
孤	qmi
培	psji
陷	lfji
络	tkvw
植	tlae
汇	hspo
触	fmae
售	hqki
违	pnu
魂	hki
巧	jtli
珠	gso
劲	bje
彼	fhde
暂	alko
碰	fjju
皆	vkve
尖	flyi
享	dhi
聚	hbsu
胆	cve
厅	zkli
闹	qlji
灰	akce
驻	fyu
凤	anu
紫	dvyo
凌	ghpw
唱	kdvw
梁	hsvr
箭	pjce
融	qmge
课	fztr
鼻	fzcr
庆	fkyi
镜	qjsr
菜	clhr
恢	hdae
裁	akfr
尾	mfge
仪	jno
迟	mfnu
圈	zji
译	fbu
骂	lffe
珍	gaw
愈	cjcu
飘	dhso
缘	tkae
牌	shdw
恰	hdci
废	fkgr
腰	cde
腿	cfu
累	zho
燕	akke
朗	nfu
颗	zhte
签	pce
吹	kddw
罚	ahfe
描	ksce
杯	tlki
奖	shi
奋	ydze
奶	glfw
贫	jdvr
繁	kfdo
穷	vkse
启	lski
缩	tkge
仇	jgr
债	jmsr
碎	fjjw
障	lsaw
郎	nfw
孟	qpi
讯	fxw
郭	dhqw
赫	psce
裂	ckvr
凝	ghvu
颜	jsze
刊	lvve
役	fhlu
逼	lkzu
泛	hssi
伴	jju
翼	zzao
宜	gkse
偶	jzw
峰	mgmu
岂	mgmo
症	qkli
掩	ksyi
霍	kho
倍	jjki
壮	shlo
豪	dhde
悄	hdfu
堆	psho
零	kcr
躲	kfr
映	vdyi
灾	gkce
疯	qko
冬	mgw
辩	snfe
炎	cmce
猜	lqmu
壁	kvpu
艘	mju
贴	smfi
劝	bse
兽	jdzi
番	skze
撞	ksjo
柔	br
跃	xsyi
隆	lmlu
狠	lqfe
帐	jfdr
崇	mggw
汗	hslu
赖	nsfr
岩	mgfe
堡	jku
巡	dynu
欣	kfdw
阁	qlvw
喵	kdce
漫	hsvu
佩	jali
丢	spbr
蛋	jge
闲	qltr
陪	lji
乔	syve
盾	zkaw
矿	fjfr
焦	hqe
侍	jpo
拳	jdju
墨	mapu
侯	jpu
滑	hsni
润	hsqu
胞	csi
辈	lte
署	ahfo
敏	kfdi
骗	fylr
彭	tfw
晨	vhi
搜	ksju
昏	cmo
幅	jfe
奏	mvni
兼	jdae
肃	dvjo
辑	alke
岳	kfli
黎	msvu
酸	sbw
辞	hve
嘛	kdhu
戒	fjcr
躺	kfno
菲	cllo
箱	ptw
驾	slke
驱	fyo
凯	mgmw
腾	cjje
悉	skhu
冯	ghfe
诊	fafw
桑	bbr
慧	mvmu
蛇	gjge
恭	akju
迪	mnu
贼	smfw
饮	tjdw
碍	fjvo
尘	flpu
餐	cki
阅	qljr
欺	mtw
牵	ydgo
综	tkgw
踪	xgw
殖	ckae
趋	afr
磨	hae
绪	tkfo
锁	qjfr
蒂	clji
慌	hdcw
卢	fjmu
惠	akzu
汤	hsxw
