gm	有
sk	个
df	上
jv	来
kb	们
ck	到
kr	你
wo	就
hs	以
jl	时
ig	着
zj	可
vc	道
do	之
wl	对
sp	会
cj	自
ua	而
jj	得
fd	下
dh	生
fg	于
lg	年
of	后
iw	发
dn	里
hq	没
cl	还
fo	所
bn	去
pg	看
fi	事
si	如
ql	用
ot	小
ke	作
xx	多
fj	行
iv	只
sy	好
up	成
ek	家
fx	天
sh	她
ml	然
os	当
ng	心
qj	起
za	种
ag	想
rw	经
gu	现
kj	但
hb	法
ue	无
zf	同
cn	么
bl	进
he	学
hf	面
mv	其
vm	前
nt	已
og	主
ss	从
pa	动
vk	分
pe	把
fw	开
wi	又
am	两
af	本
ux	因
yi	部
fp	与
nx	将
je	日
xk	长
gd	理
qn	三
lh	些
el	实
ai	样
gl	十
an	意
ei	知
zu	第
au	力
jt	很
fl	正
wn	高
pc	手
kg	什
lc	身
oe	被
eh	它
jm	明
ri	老
rj	者
vn	公
uw	见
ap	机
cz	向
bi	问
jq	最
kf	使
sg	全
di	点
nz	情
xd	外
ns	民
vw	并
vx	关
nv	工
ui	回
zb	等
rl	二
hd	重
is	由
lx	头
mm	声
nd	性
gh	应
bj	间
vv	话
wm	文
rt	给
oq	业
ls	物
ka	体
ii	或
ps	几
zs	内
zk	利
pu	打
qo	走
ya	新
ky	位
qp	西
gz	再
yo	产
md	月
la	先
lu	制
lb	特
sa	果
lo	东
dj	神
ah	儿
gc	才
bo	门
xo	太
ti	合
km	信
zo	表
od	原
sm	女
to	更
jc	己
xi	名
yq	立
hh	比
kn	代
yt	四
kc	任
lf	次
xp	世
kt	便
io	听
pj	提
kq	做
hl	海
hg	水
ry	教
gt	眼
kh	化
nq	通
uf	感
gi	王
qy	各
iq	口
fq	气
ia	别
oc	少
jd	处
lv	平
xu	常
rq	解
kz	何
py	接
gy	目
ow	反
uy	变
zc	笑
vi	总
xj	入
vs	认
ja	条
es	安
tk	金
kd	及
gx	度
vd	让
ds	山
xh	马
tw	受
hv	活
rm	结
ms	数
gg	直
nc	必
dy	白
ph	指
ox	张
pw	报
vh	论
id	员
oo	义
mr	放
jp	电
cy	至
ji	五
ch	系
wv	难
uv	建
ro	尔
kl	件
qh	死
ki	保
er	完
vl	许
jk	题
bp	场
zn	空
vg	计
en	怎
sj	光
ze	管
dm	非
jg	德
oi	强
jf	量
le	决
kw	像
ts	队
hz	清
iu	嗯
rp	统
pp	书
uu	市
pf	司
ko	住
qa	克
fe	带
ib	飞
eo	区
ay	李
dk	则
co	交
db	社
tp	今
nh	北
mx	展
yl	连
ih	叫
hn	治
uq	路
fk	万
li	告
zp	科
im	呢
sn	思
xl	达
vj	记
yr	转
xm	望
al	边
ne	快
po	风
re	色
wp	象
aw	权
vq	设
rh	且
qw	取
lr	干
hr	收
ll	步
tn	领
aa	林
at	根
jo	往
ak	极
fh	求
jx	未
lq	每
zi	程
nn	式
ov	兵
pm	据
me	言
su	规
ie	吧
ir	品
qr	确
wu	观
bu	城
ij	虽
cs	失
aq	格
ra	远
av	办
pl	运
xv	共
vz	请
fn	武
mf	士
jr	改
wz	英
ao	术
yf	车
qq	石
qv	联
ru	争
ix	吗
te	院
yw	轻
yv	火
yx	罗
sv	夫
uo	离
wk	花
ol	近
lk	切
rr	组
hp	流
zg	算
dl	导
pi	找
kk	候
hw	满
mw	服
eu	官
ur	整
tg	爱
ey	字
pb	持
ut	跟
zl	突
jw	影
ho	消
il	吃
yz	商
vf	证
vo	议
qu	越
gk	存
pz	击
mz	精
ha	济
ni	台
uc	黑
tu	需
bh	支
oa	杀
ug	团
na	功
gv	具
mt	脸
va	集
zm	青
rn	红
ww	双
dp	九
vy	八
nb	片
vp	半
ep	容
it	啊
tz	阿
wh	落
mo	尽
xa	党
js	备
lj	复
tl	陈
mp	断
ks	价
rs	约
ef	写
sd	包
rk	级
xf	病
zr	称
ca	六
vr	敌
bx	黄
gj	朝
rf	线
yd	站
zd	究
nm	装
dd	示
du	视
bv	增
nw	惊
qm	古
ok	引
bk	须
ln	七
qf	研
td	际
fs	留
pv	推
fm	房
gp	广
aj	查
wg	若
xz	奇
sl	企
ic	响
if	号
pt	势
th	剑
nr	攻
lt	冷
pq	投
ip	哪
uj	图
yp	微
dg	皇
bm	土
uz	足
fy	严
ee	医
we	营
cv	乎
yy	孩
zt	答
ud	费
ad	标
hc	千
kv	仍
ma	某
yc	较
tm	防
qk	列
vb	讲
qe	破
eq	客
cb	血
pd	云
jh	龙
cf	钱
wa	苏
qt	母
rv	维
ye	帝
ew	巴
ik	划
cr	致
go	革
gq	底
ar	音
tx	够
as	构
lp	船
wq	苦
ju	律
or	衣
hi	喜
mn	志
mg	米
jz	晚
nk	项
ez	害
kx	供
mc	属
xt	验
ba	境
ou	毛
mq	居
cx	错
ta	采
ev	察
ci	否
mu	脑
uk	夜
ul	速
rg	续
no	乐
gw	友
cc	铁
nl	状
gn	左
tq	句
ub	率
ld	止
qi	职
wr	药
nf	印
wf	卫
tj	阳
jb	待
cu	追
mk	预
yk	刻
sw	创
tt	限
gf	球
in	差
ac	校
ty	阵
dw	异
ed	宗
hm	游
ct	银
oz	食
wt	警
zh	素
mh	尼
rd	负
sb	忽
ht	酒
zy	穿
vu	弟
pk	招
xn	痛
fz	习
eg	宝
mb	脚
yg	置
ob	压
sq	略
rz	纳
dx	岁
sz	余
bq	闻
zz	哥
us	跑
gs	座
em	皮
ku	佛
ec	室
bb	封
be	块
so	娘
et	宣
nj	慢
wj	草
np	恐
sx	妈
sr	姐
ga	协
hj	洲
lm	肯
pr	换
ve	登
lw	犯
xy	尚
ej	审
qg	耳
oh	永
wb	圣
ea	宋
zq	毒
iy	呀
ge	索
wd	岛
sf	遇
bc	坏
bs	闪
hy	渐
cw	升
sc	君
tr	隐
zv	税
by	鬼
ys	炮
dr	败
zx	移
cm	翻
mi	吉
da	杂
az	刺
ae	齐
tf	雨
cg	镇
yu	烟
ly	猛
xb	堂
gb	庄
ff	乡
hu	湾
lz	牛
qb	虎
qd	票
dz	臣
gr	玩
wy	熟
xc	亡
hx	港
vt	尊
eb	寒
fr	遭
on	麻
fc	夏
oy	厂
fv	骨
yb	牙
yh	轮
uh	束
fu	妻
st	甲
xs	套
bw	塔
fb	街
ab	杜
xg	奔
pn	抬
jn	乌
ws	茶
fa	末
yj	爆
xe	疾
bg	闭
op	摩
oj	厚
px	措
mj	胆
