aa	林
aa;	竟
ab	杜
ab;	横
ac	校
ac;	杯
ad	标
ad;	柏
ae	齐
ae;	柜
af	本
af;	柳
ag	想
ag;	相
ah	儿
ah;	楷
ai	样
ai;	加
aj	查
aj;	木
ak	极
ak;	剂
al	边
al;	村
am	两
am;	楼
an	意
an;	忠
ao	术
ao;	述
ap	机
ap;	杨
aq	格
aq;	枯
ar	音
ar;	枚
as	构
as;	枪
at	根
at;	检
au	力
au;	杭
av	办
av;	松
aw	权
aw;	树
ax	椅
ax;	樘
ay	李
ay;	核
az	刺
az;	柯
ba	境
ba;	闲
bb	封
bb;	墙
bc	坏
bc;	埠
bd	埋
bd;	盐
be	块
be;	坡
bf	坎
bf;	闩
bg	闭
bg;	填
bh	支
bh;	阔
bi	问
bi;	幸
bj	间
bj;	坦
bk	须
bk;	阀
bl	进
bl;	寺
bm	土
bm;	堪
bn	去
bn;	却
bo	门
bo;	髦
bp	场
bp;	幻
bq	闻
bq;	阁
br	堵
br;	阎
bs	闪
bs;	均
bt	垣
bt;	埂
bu	城
bu;	闹
bv	增
bv;	堆
bw	塔
bw;	坟
bx	黄
bx;	闯
by	鬼
by;	培
bz	井
bz;	髯
ca	六
ca;	钟
cb	血
cb;	丢
cc	铁
cc;	铢
cd	乏
cd;	钻
ce	锭
ce;	钜
cf	钱
cf;	钦
cg	镇
cg;	针
ch	系
ch;	锤
ci	否
ci;	锅
cj	自
cj;	朱
ck	到
ck;	钊
cl	还
cl;	延
cm	翻
cm;	释
cn	么
cn;	息
co	交
co;	效
cp	鹅
cp;	锻
cq	镖
cq;	甭
cr	致
cr;	铮
cs	失
cs;	鼻
ct	银
ct;	铃
cu	追
cu;	币
cv	乎
cv;	锐
cw	升
cw;	钗
cx	错
cx;	乔
cy	至
cy;	链
cz	向
cz;	奥
da	杂
da;	嶂
db	社
db;	幽
dc	卑
dc;	贬
dd	示
dd;	贴
de	崇
de;	贮
df	上
df;	福
dg	皇
dg;	财
dh	生
dh;	泉
di	点
di;	战
dj	神
dj;	桌
dk	则
dk;	颐
dl	导
dl;	迫
dm	非
dm;	野
dn	里
dn;	悲
do	之
do;	岸
dp	九
dp;	礼
dq	岩
dq;	赂
dr	败
dr;	祖
ds	山
ds;	购
dt	岭
dt;	祁
du	视
du;	巳
dv	禅
dv;	赚
dw	异
dw;	斐
dx	岁
dx;	账
dy	白
dy;	辈
dz	臣
dz;	岗
ea	宋
ea;	匹
eb	寒
eb;	塞
ec	室
ec;	宅
ed	宗
ed;	寂
ee	医
ee;	巨
ef	写
ef;	富
eg	宝
eg;	宏
eh	它
eh;	羽
ei	知
ei;	鱼
ej	审
ej;	鲁
ek	家
ek;	定
el	实
el;	守
em	皮
em;	鳞
en	怎
en;	密
eo	区
eo;	农
ep	容
ep;	冗
eq	客
eq;	额
er	完
er;	宜
es	安
es;	案
et	宣
et;	鲫
eu	官
eu;	宁
ev	察
ev;	罕
ew	巴
ew;	宽
ex	寄
ex;	宛
ey	字
ey;	军
ez	害
ez;	割
fa	末
fa;	兀
fb	街
fb;	耕
fc	夏
fc;	饿
fd	下
fd;	百
fe	带
fe;	馆
ff	乡
ff;	饮
fg	于
fg;	髓
fh	求
fh;	救
fi	事
fi;	顿
fj	行
fj;	遍
fk	万
fk;	户
fl	正
fl;	政
fm	房
fm;	丽
fn	武
fn;	瓦
fo	所
fo;	亚
fp	与
fp;	饲
fq	气
fq;	骷
fr	遭
fr;	曹
fs	留
fs;	互
ft	卿
ft;	馁
fu	妻
fu;	氟
fv	骨
fv;	雇
fw	开
fw;	形
fx	天
fx;	吞
fy	严
fy;	灭
fz	习
fz;	丙
ga	协
ga;	勒
gb	庄
gb;	鞋
gc	才
gc;	环
gd	理
gd;	店
ge	索
ge;	勃
gf	球
gf;	庐
gg	直
gg;	真
gh	应
gh;	睡
gi	王
gi;	右
gj	朝
gj;	韩
gk	存
gk;	府
gl	十
gl;	瓒
gm	有
gm;	序
gn	左
gn;	雄
go	革
go;	玉
gp	广
gp;	卖
gq	底
gq;	瑚
gr	玩
gr;	勤
gs	座
gs;	康
gt	眼
gt;	瞬
gu	现
gu;	布
gv	具
gv;	瞧
gw	友
gw;	弄
gx	度
gx;	席
gy	目
gy;	库
gz	再
gz;	南
ha	济
ha;	嘉
hb	法
hb;	益
hc	千
hc;	泛
hd	重
hd;	激
he	学
he;	觉
hf	面
hf;	汽
hg	水
hg;	泪
hh	比
hh;	毕
hi	喜
hi;	洋
hj	洲
hj;	温
hk	梁
hk;	渊
hl	海
hl;	洗
hm	游
hm;	泥
hn	治
hn;	江
ho	消
ho;	派
hp	流
hp;	沿
hq	没
hq;	湖
hr	收
hr;	污
hs	以
hs;	潜
ht	酒
ht;	浮
hu	湾
hu;	津
hv	活
hv;	兴
hw	满
hw;	汉
hx	港
hx;	洪
hy	渐
hy;	淡
hz	清
hz;	河
ia	别
ia;	另
ib	飞
ib;	盖
ic	响
ic;	呼
id	员
id;	羊
ie	吧
ie;	戈
if	号
if;	吴
ig	着
ig;	叶
ih	叫
ih;	嘻
ii	或
ii;	惑
ij	虽
ij;	喝
ik	划
ik;	吸
il	吃
il;	嘴
im	呢
im;	嘱
in	差
in;	唉
io	听
io;	史
ip	哪
ip;	啦
iq	口
iq;	咕
ir	品
ir;	唤
is	由
is;	喂
it	啊
it;	哈
iu	嗯
iu;	喊
iv	只
iv;	善
iw	发
iw;	叹
ix	吗
ix;	美
iy	呀
iy;	吼
iz	呵
iz;	呐
ja	条
ja;	务
jb	待
jb;	後
jc	己
jc;	蛛
jd	处
jd;	星
je	日
je;	彼
jf	量
jf;	征
jg	德
jg;	早
jh	龙
jh;	昆
ji	五
ji;	晓
jj	得
jj;	州
jk	题
jk;	照
jl	时
jl;	彻
jm	明
jm;	盟
jn	乌
jn;	忌
jo	往
jo;	显
jp	电
jp;	曳
jq	最
jq;	徒
jr	改
jr;	昌
js	备
js;	易
jt	很
jt;	辛
ju	律
ju;	御
jv	来
jv;	典
jw	影
jw;	景
jx	未
jx;	暴
jy	曼
jy;	曙
jz	晚
jz;	映
ka	体
ka;	休
kb	们
kb;	侍
kc	任
kc;	倒
kd	及
kd;	伯
ke	作
ke;	侯
kf	使
kf;	师
kg	什
kg;	值
kh	化
kh;	似
ki	保
ki;	召
kj	但
kj;	旧
kk	候
kk;	修
kl	件
kl;	伤
km	信
km;	假
kn	代
kn;	仰
ko	住
ko;	依
kp	俗
kp;	佩
kq	做
kq;	低
kr	你
kr;	传
ks	价
ks;	伊
kt	便
kt;	偷
ku	佛
ku;	健
kv	仍
kv;	份
kw	像
kw;	紧
kx	供
kx;	借
ky	位
ky;	伙
kz	何
kz;	临
la	先
la;	选
lb	特
lb;	盘
lc	身
lc;	艇
ld	止
ld;	舞
le	决
le;	躯
lf	次
lf;	资
lg	年
lg;	狂
lh	些
lh;	此
li	告
li;	造
lj	复
lj;	独
lk	切
lk;	刊
ll	步
ll;	射
lm	肯
lm;	舫
ln	七
ln;	冶
lo	东
lo;	狼
lp	船
lp;	躲
lq	每
lq;	般
lr	干
lr;	净
ls	物
ls;	舱
lt	冷
lt;	狗
lu	制
lu;	航
lv	平
lv;	准
lw	犯
lw;	艘
lx	头
lx;	躺
ly	猛
ly;	狄
lz	牛
lz;	猜
ma	某
ma;	予
mb	脚
mb;	肚
mc	属
mc;	屋
md	月
md;	胜
me	言
me;	肥
mf	士
mf;	糟
mg	米
mg;	眉
mh	尼
mh;	尿
mi	吉
mi;	届
mj	胆
mj;	履
mk	预
mk;	豚
ml	然
ml;	施
mm	声
mm;	朋
mn	志
mn;	胎
mo	尽
mo;	粮
mp	断
mp;	局
mq	居
mq;	股
mr	放
mr;	粗
ms	数
ms;	胸
mt	脸
mt;	腿
mu	脑
mu;	刷
mv	其
mv;	斯
mw	服
mw;	豫
mx	展
mx;	类
my	粒
my;	膀
mz	精
mz;	尸
na	功
na;	允
nb	片
nb;	愧
nc	必
nc;	怀
nd	性
nd;	怕
ne	快
ne;	矣
nf	印
nf;	巧
ng	心
ng;	恢
nh	北
nh;	背
ni	台
ni;	怠
nj	慢
nj;	忆
nk	项
nk;	患
nl	状
nl;	悔
nm	装
nm;	壮
nn	式
nn;	惨
no	乐
no;	版
np	恐
np;	巩
nq	通
nq;	勇
nr	攻
nr;	愕
ns	民
ns;	惯
nt	已
nt;	恨
nu	恼
nu;	懒
nv	工
nv;	惟
nw	惊
nw;	怪
nx	将
nx;	参
ny	愣
ny;	惭
nz	情
nz;	惘
oa	杀
oa;	历
ob	压
ob;	魔
oc	少
oc;	省
od	原
od;	愿
oe	被
oe;	厨
of	后
of;	厉
og	主
og;	质
oh	永
oh;	弛
oi	强
oi;	袖
oj	厚
oj;	褐
ok	引
ok;	初
ol	近
ol;	弱
om	削
om;	肖
on	麻
on;	弘
oo	义
oo;	斥
op	摩
op;	裕
oq	业
oq;	磨
or	衣
or;	弥
os	当
os;	袍
ot	小
ot;	良
ou	毛
ou;	厅
ov	兵
ov;	弹
ow	反
ow;	顾
ox	张
ox;	尖
oy	厂
oy;	毯
oz	食
oz;	凶
pa	动
pa;	充
pb	持
pb;	技
pc	手
pc;	托
pd	云
pd;	排
pe	把
pe;	按
pf	司
pf;	护
pg	看
pg;	迅
ph	指
ph;	批
pi	找
pi;	损
pj	提
pj;	担
pk	招
pk;	撇
pl	运
pl;	买
pm	据
pm;	育
pn	抬
pn;	抑
po	风
po;	凡
pp	书
pp;	扬
pq	投
pq;	敢
pr	换
pr;	挣
ps	几
ps;	抱
pt	势
pt;	热
pu	打
pu;	抗
pv	推
pv;	括
pw	报
pw;	择
px	措
px;	掩
py	接
py;	拉
pz	击
pz;	控
qa	克
qa;	虏
qb	虎
qb;	彪
qc	殊
qc;	砭
qd	票
qd;	飘
qe	破
qe;	碗
qf	研
qf;	残
qg	耳
qg;	矿
qh	死
qh;	韦
qi	职
qi;	础
qj	起
qj;	昏
qk	列
qk;	超
ql	用
ql;	赶
qm	古
qm;	胡
qn	三
qn;	虑
qo	走
qo;	赵
qp	西
qp;	甩
qq	石
qq;	趣
qr	确
qr;	故
qs	趁
qs;	碌
qt	母
qt;	硬
qu	越
qu;	碎
qv	联
qv;	碰
qw	取
qw;	聚
qx	码
qx;	趟
qy	各
qy;	耿
qz	殃
qz;	碉
ra	远
ra;	元
rb	壁
rb;	绫
rc	绞
rc;	缒
rd	负
rd;	缴
re	色
re;	缩
rf	线
rf;	考
rg	续
rg;	缠
rh	且
rh;	纠
ri	老
ri;	织
rj	者
rj;	终
rk	级
rk;	绍
rl	二
rl;	器
rm	结
rm;	继
rn	红
rn;	县
ro	尔
ro;	久
rp	统
rp;	专
rq	解
rq;	角
rr	组
rr;	绝
rs	约
rs;	急
rt	给
rt;	缓
ru	争
ru;	缄
rv	维
rv;	纷
rw	经
rw;	曲
rx	骂
rx;	绮
ry	教
ry;	孝
rz	纳
rz;	绩
sa	果
sa;	男
sb	忽
sb;	匆
sc	君
sc;	妖
sd	包
sd;	姓
se	辉
se;	耀
sf	遇
sf;	愚
sg	全
sg;	齿
sh	她
sh;	录
si	如
si;	群
sj	光
sj;	妹
sk	个
sk;	介
sl	企
sl;	田
sm	女
sm;	媒
sn	思
sn;	始
so	娘
so;	妙
sp	会
sp;	娜
sq	略
sq;	姑
sr	姐
sr;	姥
ss	从
ss;	界
st	甲
st;	龄
